PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,OME,"Nome, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,OTZ,"Kotzebue, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,OTZ,"Kotzebue, AK",SCC,"Deadhorse, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,SCC,"Deadhorse, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,SCC,"Deadhorse, AK",BRW,"Barrow, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,SCC,"Deadhorse, AK",DQH,"Alpine, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,TAL,"Tanana, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,UNK,"Unalakleet, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Bering Air Inc.,OME,"Nome, AK",SVA,"Savoonga, AK",1
,,,,,,
0,Bering Air Inc.,OME,"Nome, AK",WAA,"Wales, AK",1
,,,,,,
0,Bering Air Inc.,ORV,"Noorvik, AK",OME,"Nome, AK",1
,,,,,,
0,Bering Air Inc.,UNK,"Unalakleet, AK",KKA,"Koyuk, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",AET,"Allakaket, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",AKP,"Anaktuvuk Pass, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",ARC,"Arctic Village, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",CXF,"Coldfoot, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",FYU,"Fort Yukon, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",KAL,"Kaltag, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",LMA,"Lake Minchumina, AK",1
,,,,,,
0,Wright Air Service,FAI,"Fairbanks, AK",NUL,"Nulato, AK",1
,,,,,,
0,Wright Air Service,GAL,"Galena, AK",NUL,"Nulato, AK",1
,,,,,,
0,Wright Air Service,LMA,"Lake Minchumina, AK",FAI,"Fairbanks, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",CDB,"Cold Bay, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",DLG,"Dillingham, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",DUT,"Unalaska, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",SDP,"Sandpoint, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",SNP,"St. Paul, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",STG,"St. George Island, AK",1
,,,,,,
0,Peninsula Airways Inc.,ANC,"Anchorage, AK",UNK,"Unalakleet, AK",1
,,,,,,
0,Peninsula Airways Inc.,CDB,"Cold Bay, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Peninsula Airways Inc.,CDB,"Cold Bay, AK",DUT,"Unalaska, AK",1
,,,,,,
0,Peninsula Airways Inc.,CDB,"Cold Bay, AK",PML,"Port Moller, AK",1
,,,,,,
0,Peninsula Airways Inc.,DLG,"Dillingham, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Peninsula Airways Inc.,DUT,"Unalaska, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Peninsula Airways Inc.,SNP,"St. Paul, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Air Excursions LLC,EXI,"Excursion Inlet, AK",JNU,"Juneau, AK",1
,,,,,,
0,Air Excursions LLC,HNH,"Hoonah, AK",GST,"Gustavus, AK",1
,,,,,,
0,Air Excursions LLC,JNU,"Juneau, AK",EXI,"Excursion Inlet, AK",1
,,,,,,
0,"PM Air, LLC",KTN,"Ketchikan, AK",WFB,"Ketchikan, AK",1
,,,,,,
0,Island Air Service,ADQ,"Kodiak, AK",AOS,"Amook Bay, AK",1
,,,,,,
0,Island Air Service,KWP,"West Point, AK",ADQ,"Kodiak, AK",1
,,,,,,
0,Island Air Service,SYB,"Seal Bay, AK",ADQ,"Kodiak, AK",1
,,,,,,
0,Homer Air,HOM,"Homer, AK",NIN,"Ninilchik, AK",1
,,,,,,
0,Homer Air,HOM,"Homer, AK",NIN,"Ninilchik, AK",1
,,,,,,
0,Homer Air,NIN,"Ninilchik, AK",HOM,"Homer, AK",1
,,,,,,
0,Homer Air,NIN,"Ninilchik, AK",HOM,"Homer, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ADQ,"Kodiak, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ADQ,"Kodiak, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,AKN,"King Salmon, AK",ADQ,"Kodiak, AK",1
,,,,,,
0,Northern Air Cargo Inc.,AKN,"King Salmon, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,AKN,"King Salmon, AK",DLG,"Dillingham, AK",1
,,,,,,
0,Northern Air Cargo Inc.,AKN,"King Salmon, AK",ILI,"Iliamna, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",ADQ,"Kodiak, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",ADQ,"Kodiak, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",AKN,"King Salmon, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",ANI,"Aniak, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",BET,"Bethel, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",BET,"Bethel, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",BRW,"Barrow, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",CDB,"Cold Bay, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",DLG,"Dillingham, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",ILI,"Iliamna, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",KSM,"St. Mary's, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",MCG,"McGrath, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",OME,"Nome, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",RDB,"Red Dog, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",SCC,"Deadhorse, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANC,"Anchorage, AK",UNK,"Unalakleet, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANI,"Aniak, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANI,"Aniak, AK",KSM,"St. Mary's, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ANI,"Aniak, AK",MCG,"McGrath, AK",1
,,,,,,
0,Northern Air Cargo Inc.,BET,"Bethel, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,BET,"Bethel, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,BET,"Bethel, AK",CDB,"Cold Bay, AK",1
,,,,,,
0,Northern Air Cargo Inc.,BRW,"Barrow, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,BRW,"Barrow, AK",SCC,"Deadhorse, AK",1
,,,,,,
0,Northern Air Cargo Inc.,CDB,"Cold Bay, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,CDB,"Cold Bay, AK",ANC,"Anchorage, AK",1
,,,,,,
